route_id,group_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
20000,1
20001,1
20002,1
20003,1
20004,1
20005,1
20006,1
20007,1
20008,1
20009,1
20010,1
20011,1
20012,1
20013,1
20014,1
20015,1
20016,1
20017,1
20018,1
20019,1
20020,1
20021,1
20022,1
20023,1
20024,1
20025,1
20026,1
20027,1
20028,1
20029,1
20030,1
20031,1
20032,1
20033,1
20034,1
20035,1
20036,1
20037,1
20038,1
20039,1
20040,1
20041,1
20042,1
20043,1
20044,1
20045,1
20046,1
20047,1
20048,1
20049,1
20050,1
20051,1
20052,1
20053,1
20054,1
20055,1
20056,1
20057,1
20058,1
20059,1
20060,1
